DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1734684349.9482155
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1734684349.937382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1734684350.0457153
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/engine.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/views/generic/base.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/sqlparse/utils.py first seen with mtime 1734684350.2407155
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/urls/converters.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/constants.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/postgres/fields/jsonb.py first seen with mtime 1734684350.002382
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/models/fields/related.py first seen with mtime 1734684350.067382
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/io.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/html/entities.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/db/transaction.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/asyncio/subprocess.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/translation/__init__.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/heapq.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/utils/translation/trans_real.py first seen with mtime 1734684350.0890489
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/utils.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/importlib/metadata/_itertools.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1734684350.0240488
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/admin/options.py first seen with mtime 1734684349.8940487
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/template/loaders/app_directories.py first seen with mtime 1734684350.0782154
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/secrets.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /usr/lib/python3.10/decimal.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,296 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/mail/message.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/__future__.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/servers/__init__.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,297 autoreload File /usr/lib/python3.10/importlib/metadata/__init__.py first seen with mtime 1730924533.0
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/psycopg2/_ipaddress.py first seen with mtime 1734684350.1648822
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/auth/checks.py first seen with mtime 1734684349.9157155
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1734684349.937382
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/core/cache/__init__.py first seen with mtime 1734684350.0565488
DEBUG 2024-12-20 10:53:49,297 autoreload File /home/alex/Ecole42/42cursus/ft_transcendence/ft_transcendence_microservices/user-service/venv/lib/python3.10/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1734684350.0240488
